Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B14.5	49.912951998671396	49.0	101.0	9.090909090909092	599672.0
B15.5	40.80866267393115	50.0	101.0	18.181818181818183	599345.0
B17.5	50.15768066191172	50.0	101.0	18.181818181818183	600006.0
B20	48.02369137327229	50.0	101.0	9.090909090909092	599777.0
B34	50.81734901496521	50.0	101.0	18.181818181818183	599683.0
C14.5	45.4333605430136	49.0	101.0	9.090909090909092	599461.0
C15.5	40.471671475173125	50.0	101.0	9.090909090909092	600324.0
C17.5	53.14676974278001	51.0	101.0	18.181818181818183	600268.0
C20	46.649419507677806	50.0	101.0	9.090909090909092	600133.0
C34	44.14091799069645	49.0	101.0	9.090909090909092	599414.0
